id_themoviedb,id_genre,media_type
47218,35,filme
47218,18,filme
47218,10749,filme
98545,35,filme
98545,18,filme
98545,10749,filme
260176,18,filme
10943,27,filme
10943,53,filme
286247,,filme
744276,10749,filme
744276,18,filme
10590,28,filme
10590,36,filme
10590,10752,filme
623270,10402,filme
9889,35,filme
9889,10749,filme
126797,35,filme
126797,18,filme
49633,18,filme
49633,36,filme
470,18,filme
470,80,filme
470,53,filme
55479,18,filme
74726,27,filme
74726,35,filme
8841,18,filme
928358,18,filme
39013,18,filme
39013,9648,filme
591538,18,filme
591538,10752,filme
821427,18,filme
376233,99,filme
8848,53,filme
8848,80,filme
8848,18,filme
19913,35,filme
19913,18,filme
19913,10749,filme
59962,28,filme
59962,35,filme
59962,10749,filme
856369,99,filme
856369,36,filme
964960,10749,filme
964960,18,filme
198215,99,filme
198215,80,filme
198215,53,filme
198215,36,filme
6615,35,filme
6615,18,filme
6615,10749,filme
128237,18,filme
433014,99,filme
84290,18,filme
84290,10749,filme
16240,35,filme
16240,18,filme
38684,18,filme
38684,10749,filme
449443,28,filme
449443,80,filme
449443,53,filme
50348,80,filme
50348,18,filme
50348,53,filme
134371,18,filme
134371,878,filme
134371,9648,filme
292044,18,filme
127373,18,filme
772438,18,filme
16311,28,filme
16311,35,filme
16311,80,filme
1122099,35,filme
1122099,18,filme
1122099,10402,filme
27765,18,filme
591273,27,filme
591273,9648,filme
399031,18,filme
27007,99,filme
1047223,14,filme
1047223,27,filme
1047223,18,filme
10111,35,filme
10111,10749,filme
835975,18,filme
835975,10749,filme
835975,80,filme
20308,18,filme
283995,878,filme
283995,12,filme
283995,28,filme
54702,80,filme
54702,27,filme
54702,53,filme
11115,35,filme
11115,18,filme
588787,18,filme
588787,10749,filme
75900,18,filme
75900,10749,filme
290223,35,filme
537116,18,filme
537116,10402,filme
431714,10402,filme
431714,99,filme
8349,28,filme
8349,12,filme
8349,18,filme
8349,36,filme
8349,10752,filme
710356,10749,filme
710356,18,filme
682075,10751,filme
682075,878,filme
1157027,18,filme
2749,28,filme
2749,80,filme
2749,53,filme
391628,99,filme
1307118,878,filme
1307118,53,filme
18602,18,filme
158997,99,filme
81005,14,filme
81005,28,filme
81005,12,filme
81005,18,filme
69324,18,filme
69324,10749,filme
31111,18,filme
446101,53,filme
446101,27,filme
446101,35,filme
696109,99,filme
720755,35,filme
720755,18,filme
720755,9648,filme
672,12,filme
672,14,filme
818,35,filme
818,80,filme
818,878,filme
364680,18,filme
396777,18,filme
396777,53,filme
621013,18,filme
621013,10749,filme
10491,9648,filme
10491,18,filme
10491,53,filme
10491,10749,filme
10491,10752,filme
449562,35,filme
449562,80,filme
13243,35,filme
13243,18,filme
13243,10749,filme
18032,12,filme
18032,14,filme
18032,10749,filme
1611,18,filme
1611,35,filme
86825,18,filme
86825,27,filme
86825,53,filme
275601,35,filme
275601,18,filme
275601,10402,filme
206046,35,filme
1109255,18,filme
724163,18,filme
881366,18,filme
881366,10402,filme
516977,18,filme
516977,35,filme
288285,18,filme
64447,35,filme
64447,27,filme
64447,10749,filme
1931,18,filme
1931,10402,filme
19959,878,filme
19959,28,filme
19959,53,filme
1082543,18,filme
1082543,10749,filme
1422120,18,filme
1422120,35,filme
1422120,27,filme
716612,18,filme
716612,36,filme
38344,18,filme
82675,28,filme
82675,80,filme
82675,53,filme
339258,18,filme
345940,28,filme
345940,878,filme
345940,27,filme
653668,18,filme
550988,35,filme
550988,12,filme
550988,878,filme
750459,18,filme
750459,10402,filme
750459,10749,filme
1824,35,filme
1824,10749,filme
371447,18,filme
371447,10749,filme
38280,35,filme
38280,18,filme
12253,28,filme
12253,18,filme
680593,27,filme
151727,99,filme
84954,18,filme
1635,28,filme
1635,53,filme
1635,878,filme
1635,12,filme
228331,18,filme
37920,18,filme
37920,10751,filme
14202,10749,filme
14202,18,filme
7870,18,filme
7870,10749,filme
7870,53,filme
7870,37,filme
74461,12,filme
74461,14,filme
74461,27,filme
74461,35,filme
627725,18,filme
67985,99,filme
152737,35,filme
152737,18,filme
1004683,99,filme
964980,18,filme
964980,36,filme
157099,18,filme
157099,35,filme
8880,18,filme
8880,36,filme
8880,10752,filme
44833,53,filme
44833,28,filme
44833,12,filme
44833,878,filme
409502,18,filme
1093793,27,filme
114150,35,filme
114150,10402,filme
114150,10749,filme
42888,35,filme
42888,18,filme
42888,10749,filme
85312,99,filme
39957,18,filme
39957,27,filme
39957,53,filme
1182047,36,filme
1182047,18,filme
986674,18,filme
986674,35,filme
565726,99,filme
121691,27,filme
121691,28,filme
121691,53,filme
121691,99,filme
263109,10751,filme
263109,16,filme
263109,35,filme
263109,12,filme
1122573,28,filme
1122573,53,filme
1286663,27,filme
94478,10402,filme
94478,10749,filme
94478,35,filme
82525,80,filme
82525,18,filme
82525,53,filme
1239655,35,filme
1172291,99,filme
185837,99,filme
937746,12,filme
937746,18,filme
