id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
31932,tt0164003,Cidade Fantasma,City of Ghosts,"Sendo atualmente alvo de investigações por parte do Governo dos Estados Unidos, Jimmy Cremming (Matt Dillon) deseja apenas se livrar dos negócios escusos os quais coordena e conseguir um pouco de tranquilidade para seguir sua vida. Ele descobre que Marvin (James Caan), seu mentor, conseguiu este intento após viajar para o Camboja. Jimmy decide seguir seus passos e também parte rumo ao sudeste asiático, mas logo descobre que para conseguir a tranquilidade desejada terá que pagar seu preço.",2002-09-10,en,movie,https://image.tmdb.org/t/p/w500/lbaUuWelZR6gU648Ey7dYCRWWMn.jpg,1.7018,5.9,84,False
33273,tt1242422,Cela 211,Celda 211,"Juan Oliver sofre um acidente em seu primeiro dia de trabalho na prisão, pouco tempo antes do início de uma rebelião no setor onde estão os presos mais perigosos, liderada pelo bandido Mala Madre. Os seus companheiros fogem para se salvar e abandonam Juan desacordado na cela 211. Quando Juan acorda e entende o que aconteceu, passa a se fingir de presidiário perante os amotinados. Agora, ele corre perigo e terá que contar com muita astúcia para sobreviver a base de mentiras.",2009-11-06,es,movie,https://image.tmdb.org/t/p/w500/kJ3vywEavJJsPLayOR6YVtmtbQI.jpg,2.6529,7.448,1292,False
159121,tt2215395,Paulette,Paulette,,2012-10-04,fr,movie,https://image.tmdb.org/t/p/w500/86Xb4l0bfrMjA0eBskn9omZZE7l.jpg,1.5553,6.46,401,False
1028196,tt23055660,O Reformatório Nickel,Nickel Boys,Acompanha dois adolescentes negros em um reformatório juvenil. A amizade deles gera transformação e desperta esperança.,2024-12-13,en,movie,https://image.tmdb.org/t/p/w500/hlTuZinZ2EvrkTKpW66z2RXySmE.jpg,5.9078,6.608,277,False
98644,tt1127886,Here,Here,,2011-01-21,en,movie,https://image.tmdb.org/t/p/w500/zZkN6MFXbMCcRtKMJT0RyebWaBw.jpg,0.2559,5.1,24,False
616446,tt9860566,Irmãos,Brothers,"Conta a história de um criminoso arrependido cuja tentativa de uma vida correta sai dos trilhos ao se reunir com seu irmão gêmeo que testa sua sanidade em uma viagem pelo país atrás do prêmio de suas vidas. Evitando balas, a lei, e uma mãe autoritária no caminho, eles devem reatar o laço familiar partido antes de matarem um ao outro.",2024-10-10,en,movie,https://image.tmdb.org/t/p/w500/3cA9T9Gt9oinyNWGeOX8qjPFtcc.jpg,5.4434,6.016,289,False
433386,tt3091258,A Redenção de Jake,The Grace of Jake,"Recém-saído da prisão, o rebelde músico Jake Haynes viaja para uma pequena cidade no Arkansas para se vingar do seu pai que o abandonou. No entanto, seu plano começa a desmoronar quando ele descobre uma complicada história familiar. Com a ajuda dos moradores e de um romance proibido, ele passa a entender as complexidades da família e a virtude do perdão.",2017-02-03,en,movie,https://image.tmdb.org/t/p/w500/aeMJ0qUVGR4mlqevwZXZew8BPNN.jpg,0.4756,5.0,2,False
667969,tt11771006,Pássaros de Liberdade,Birds of Paradise,Duas garotas em uma academia de balé de elite parisiense têm seus laços e corpos testados enquanto competem por um contrato para ingressar na companhia da Opéra National de Paris.,2021-09-23,en,movie,https://image.tmdb.org/t/p/w500/3b1ZSkBrxtDEtk61NVKn7EtbZaL.jpg,1.4281,6.5,138,False
134374,tt1980209,"Sem Dor, Sem Ganho",Pain & Gain,"Na década de 1990 em Miami, um gerente de academia e seus cúmplices musculosos sequestram um rico empresário e forçam-no a passar todos os seus bens, incluindo carros e uma mansão de luxo, para eles.",2013-04-18,en,movie,https://image.tmdb.org/t/p/w500/tGGDTWp6eF9evpK1FlZYhCYdTEK.jpg,4.3421,6.277,4611,False
393765,tt4978274,O Preço da Liberdade,Priceless,"Desesperadamente precisando de dinheiro na esperança de recuperar a custódia de sua filha, James (Joel Smallbone) embarca em uma entrega sem fazer perguntas. Mas quando ele descobre o que está entregando, as perguntas em sua mente começam a persegui-lo sem piedade. James se torna um herói improvável e deve lutar para salvar a inocência e a vida de duas jovens mulheres.",2016-10-14,en,movie,https://image.tmdb.org/t/p/w500/wgSJ8m9ZymDOVXkQLwHCe2aRaJa.jpg,2.35,7.0,184,False
12806,tt0250478,Krámpack,Krámpack,"Dani e Nico, dois adolescentes e amigos inseparáveis, terão dez dias de liberdade absoluta na casa de praia dos pais de Dani na costa mediterrânea espanhola. Será a oportunidade de realizarem seus sonhos e fantasias, afinal, a idade adulta se aproxima e eles ainda são iniciantes nas questões do amor.",2000-05-18,es,movie,https://image.tmdb.org/t/p/w500/AjbyMOa7Oxyam7ENHz1hARwFJHp.jpg,0.983,6.0,69,False
626975,tt9489598,Nossas Meninas,Our Ladies,"Na Escócia da década de 1990, um grupo de garotas de uma escola católica teve a oportunidade de ir a Edimburgo para um concurso de coro, mas eles estão mais interessados ​​em beber, festejar e ficar juntos do que em ganhar o concurso.",2019-10-04,en,movie,https://image.tmdb.org/t/p/w500/9QHA9UXs34jB1IxeitCgOdWmr5Z.jpg,1.5973,6.541,49,False
52505,tt1032825,As Coisas Impossíveis do Amor,The Other Woman,"Emilia é uma advogada recém-formada e uma mulher recém-casada com Jack, que era seu chefe na época em que se conheceram e já era casado. Infelizmente, sua vida toma um rumo inesperado quando Jack e Emilia perdem a sua filha recém-nascida e ela passa a lutar para superar a dor para poder criar um laço afetivo com seu enteado William. Ao mesmo tempo, ela também tenta superar suas divergências com seu pai, causadas por sua própria infidelidade. Mas talvez o obstáculo mais difícil de todos para Emilia sejam as constantes interferências da ciumenta e rancorosa ex-mulher de seu marido, Carolyn. Com o passar do tempo, as insistentes tentativas de Charlie e William em fazer com que Emilia abra seu coração começam a funcionar.Será que ela pode redescobrir sua própria capacidade de amar a tempo de salvar seu casamento e consertar seu relacionamento com seus pais e construir uma família a partir dos destroços?",2010-10-28,en,movie,https://image.tmdb.org/t/p/w500/yQbdra6eqLgqUkm2XX4ddTksSJw.jpg,1.0248,6.236,401,False
87867,tt0211661,A Casa do Terror Tract,Terror Tract,"Um corretor tenta desesperadamente vender um imóvel para um casal, mas parece que cada casa que ele mostra tem uma terrível história sobre os antigos proprietários. Na primeira, um homem de negócios descobre que sua mulher o está enganando somente para ser assassinada por ele. Na segunda, o crescente medo e paranoia de um pacato homem de família cuja jovem filha encontra e adota um macaco abandonado. Na terceira, um problemático adolescente com habilidades psíquicas, visita uma terapeuta para alertá-la que ela será a próxima vítima de um assassino serial.",2000-10-18,en,movie,https://image.tmdb.org/t/p/w500/xc36vT1sSE3xNAnA3hmkx2zzmyG.jpg,0.414,6.109,46,False
35690,tt1294226,A Última Música,The Last Song,"Ronnie Miller tem 17 anos, é filha de pais divorciados e seu pai mora longe de Nova York, numa cidade praiana. Após três anos de separação, ela ainda sente raiva por tudo o que aconteceu até o dia em que sua mãe decide enviá-la para passar o verão com ele. Uma vez lá, depois de conhecer novas pessoas e paixões, ela encontra alguém que, além de bom músico e professor, é, acima de tudo, um verdadeiro pai.",2010-03-31,en,movie,https://image.tmdb.org/t/p/w500/nxIfYoPSpQmwhotMYZUVYfMbiYq.jpg,2.5627,7.235,3334,False
494974,tt7615302,A Espiã Vermelha,Red Joan,"Em 1938, a britânica Joan Stanley estudava física em Cambridge quando se apaixonou por um jovem comunista. Na mesma época, ela foi convocada pelo Comitê de Segurança Russo (KGB) para atuar como espiã do Governo de Stalin no Reino Unido. Depois de mais de cinquenta anos de serviço muito bem sucedidos, ela foi descoberta e presa pela Serviço de Inteligência Britânico (MI5).",2018-09-13,en,movie,https://image.tmdb.org/t/p/w500/patzx6JSth70QKEUqZ1fU4Hatkd.jpg,1.2338,6.646,380,False
