id_themoviedb,id_genre,media_type
2171,80,série
2171,18,série
2171,9648,série
269,18,série
3072,16,série
3072,35,série
3072,10759,série
2691,35,série
21007,35,série
2187,35,série
71708,16,série
71708,35,série
45388,10759,série
45388,18,série
45388,9648,série
45388,80,série
2604,10759,série
2604,35,série
2604,16,série
140,10759,série
140,10765,série
140,16,série
140,9648,série
2290,10765,série
2290,10759,série
2290,18,série
5689,35,série
5689,10764,série
1466,35,série
9885,18,série
9885,80,série
43,35,série
43,10762,série
43,10751,série
216,16,série
216,35,série
216,10765,série
216,10762,série
993,35,série
569,10767,série
3708,18,série
3708,35,série
2059,18,série
1906,35,série
1906,18,série
562,35,série
562,10767,série
3764,35,série
3764,80,série
3764,18,série
3764,9648,série
1630,35,série
1630,10764,série
1554,35,série
1554,10767,série
56,10764,série
2282,35,série
13605,16,série
13605,35,série
13605,10762,série
4344,18,série
2293,10764,série
2293,35,série
2293,10759,série
4403,16,série
1428,99,série
62864,18,série
62864,80,série
137,16,série
137,10765,série
137,35,série
3540,35,série
1891,10759,série
1891,18,série
2058,35,série
1960,16,série
1960,10765,série
1960,35,série
4336,16,série
4336,35,série
4336,10764,série
2055,16,série
2055,35,série
2316,35,série
90,99,série
90,18,série
90,80,série
1886,16,série
679,10759,série
679,16,série
679,35,série
679,10762,série
1940,35,série
1940,18,série
130,16,série
130,35,série
130,18,série
130,10762,série
11250,18,série
815,35,série
10851,18,série
10851,35,série
721,10764,série
21421,99,série
21421,80,série
1481,18,série
1481,10765,série
20,10764,série
20,35,série
6390,10764,série
308,18,série
308,35,série
308,10766,série
12961,10766,série
12961,18,série
2891,10764,série
202,35,série
2458,80,série
2458,18,série
2458,9648,série
1976,10764,série
1894,35,série
1894,10762,série
1894,10751,série
6554,18,série
6554,9648,série
6554,80,série
429,35,série
1433,16,série
1433,35,série
1395,18,série
1395,9648,série
2022,16,série
2022,10765,série
2022,10759,série
2022,10762,série
2371,18,série
4106,18,série
39373,16,série
39373,35,série
39373,10765,série
1446,35,série
1446,18,série
1446,10751,série
1446,10766,série
4637,35,série
545,35,série
4598,35,série
4598,18,série
1600,35,série
1600,10762,série
3357,18,série
1972,10765,série
1972,10759,série
1972,18,série
255,16,série
255,35,série
255,10762,série
3189,10751,série
3189,35,série
2746,10765,série
2746,18,série
2430,35,série
2430,18,série
6204,80,série
6204,18,série
6204,9648,série
1754,99,série
1754,10764,série
2302,18,série
1650,10766,série
1650,18,série
2178,10764,série
693,9648,série
693,18,série
693,35,série
1859,18,série
4503,18,série
4503,35,série
4607,9648,série
4607,10759,série
4607,18,série
547,18,série
547,9648,série
1736,35,série
1736,10751,série
1711,,série
4393,10764,série
813,10764,série
1408,18,série
1408,9648,série
1408,35,série
5339,18,série
36,80,série
36,18,série
36,9648,série
36,10765,série
1432,9648,série
1432,18,série
1432,35,série
1416,18,série
1734,18,série
1734,10765,série
1734,10766,série
12637,35,série
12637,10766,série
12637,18,série
3766,35,série
1778,35,série
7166,35,série
7166,10765,série
2967,35,série
246,16,série
246,10759,série
246,10765,série
4622,10765,série
4622,16,série
4622,35,série
4622,10759,série
1467,35,série
2418,16,série
2418,35,série
2418,10759,série
2418,10765,série
557,16,série
557,35,série
557,10751,série
4246,16,série
4246,35,série
4246,10765,série
1720,10762,série
1720,16,série
1720,10751,série
1720,10765,série
1720,35,série
446,16,série
446,10759,série
446,10765,série
446,35,série
3582,35,série
3582,18,série
4392,18,série
3805,16,série
3805,35,série
3231,10767,série
3231,10763,série
231,10767,série
231,35,série
4638,10759,série
4638,18,série
4638,9648,série
1848,10762,série
1848,16,série
1848,10765,série
1848,10759,série
1848,9648,série
618,16,série
618,35,série
618,10762,série
6326,10751,série
6326,10764,série
5146,99,série
5146,18,série
5146,80,série
1647,16,série
1647,10762,série
1647,10759,série
1456,35,série
2603,18,série
2603,10765,série
3428,16,série
3428,10762,série
3428,10759,série
3428,10751,série
3428,10765,série
3428,35,série
13999,10764,série
2030,16,série
2030,10765,série
2030,10759,série
2030,10762,série
1883,,série
2718,16,série
2718,35,série
4605,35,série
4605,10751,série
4605,10762,série
114,35,série
2501,35,série
443,10765,série
443,10764,série
3605,18,série
