id_media,id_genre
426563,80
607776,27
130458,
12410,18
6575,35
6575,10402
335151,18
341240,99
8892,35
8892,18
608504,99
828373,18
306745,10749
306745,18
6278,12
6278,28
6278,14
54138,28
54138,12
54138,878
820710,14
820710,27
58151,27
58151,35
253155,99
158852,12
158852,10751
158852,9648
158852,878
450933,99
17113,18
16070,99
7797,14
7797,18
7797,9648
1118031,18
1118031,28
1118031,27
9986,35
9986,10751
9986,14
1134055,28
912916,10749
912916,18
912916,35
81923,18
50646,35
50646,18
50646,10749
837938,18
9703,28
9703,12
9703,14
9703,10752
42297,18
42297,10749
368940,16
368940,12
368940,35
368940,10751
9904,10751
9904,16
455207,35
455207,10749
140122,35
140122,18
654974,10751
654974,35
654974,80
390996,99
390996,10402
80767,99
73872,18
793807,80
793807,18
793807,9648
793807,53
184374,10752
184374,36
184374,18
1203397,10402
1203397,99
31130,18
31130,10749
31130,53
8051,10749
8051,18
8051,35
295799,99
739405,28
739405,35
739405,53
33152,28
33152,35
33152,80
1038392,27
1038392,53
46837,35
46837,878
46837,9648
1139467,18
1139467,10749
308027,10749
308027,35
308027,18
239605,37
399790,18
399790,36
15664,18
15664,53
15664,878
21544,35
21544,10749
15451,80
15451,18
15451,10749
534313,16
534313,10751
534313,35
534313,12
20093,18
20093,28
20093,80
244772,18
1051896,28
1051896,27
1051896,53
1051896,878
11324,18
11324,53
11324,9648
49494,12
49494,18
68818,12
68818,28
68818,37
9353,35
10075,18
10075,14
10075,27
10075,10749
9918,18
9918,36
276,18
276,35
37559,12
37559,35
136582,18
174309,99
131880,99
110323,18
11556,18
11556,28
11556,35
11556,53
432602,99
73706,35
73706,10749
73706,10751
93223,18
93223,35
93223,10749
570670,53
570670,878
570670,27
28200,18
28200,10749
1111873,27
1111873,53
237756,35
237756,53
237756,9648
611179,35
611179,18
230358,18
1562,27
1562,53
1562,878
231,18
231,53
1063679,35
114730,27
114730,28
114730,53
114730,878
430040,28
430040,12
430040,80
430040,53
22617,18
22617,28
22617,53
1008374,53
1008374,27
1008374,18
1435760,35
58727,53
1088514,18
28520,18
28520,53
28520,10749
346685,80
346685,18
346685,9648
346685,53
84332,35
84332,10749
84332,878
629540,35
629540,10751
629540,14
405775,10752
405775,53
405775,18
405775,28
199341,35
199341,10749
456508,99
13172,35
342208,10749
342208,18
60015,18
60015,35
60015,10749
18001,35
17654,878
740985,35
441,18
441,35
946138,99
946138,36
334521,28
334521,80
334521,9648
23827,27
23827,9648
836485,99
842924,878
842924,14
842924,18
98066,35
9740,80
9740,18
9740,53
603488,18
128104,18
33774,18
44524,35
44524,18
44524,10749
48767,28
48767,80
48767,18
853,18
853,10752
853,36
853,10749
339987,10752
339987,18
339987,10749
209276,18
14344,35
14344,18
420818,12
420818,18
420818,10751
420818,16
6964,18
6964,35
6964,10749
20177,12
20177,35
20177,878
980271,18
194662,18
194662,35
38055,16
38055,28
38055,35
38055,10751
38055,878
8359,10751
8359,35
8359,18
8359,9648
