id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
62919,tt4421578,Containment,Containment,"Uma misteriosa e mortal epidemia atinge Atlanta, o que força o governo americano a colocar a a cidade em quarentena. O policial de bom coração Alex Carnahan (David Gyasi), mais conhecido como Lex, é o responsável por patrulhar a área, onde está sua namorada, a inteligente Jana (Christina Moses). Dentre eles também está Jake (Chris Wood), um ex-renegado que agora atua como policial. Melhor amigo de Lex, ele deve proteger os mais necessitas, mas seu primeiro instinto é sempre salvar a si próprio. Os moradores que ficaram 'presos' enfrentarão uma sinistra luta por sobrevivência.",2016-04-19,en,tv,https://image.tmdb.org/t/p/w500/eeNd3ovnS8rztZgIpbCDx74VjSs.jpg,2.2915,6.776,201,False
62856,tt4422756,A Família do Ano,The Real O'Neals,"Uma família católica perfeita vê sua vida tomar um rumo inesperado quando algumas verdades são reveladas. Em vez de se arruinarem, todos param de fingirem serem perfeitos e começam a ser reais.",2016-03-02,en,tv,https://image.tmdb.org/t/p/w500/1I7Ta2NzLKjVzYsIBct0UF2U3ul.jpg,2.2947,7.3,69,False
62687,tt4422836,Sem Limites,Limitless,"Brian Finch (Jake McDorman) é mais um rapaz comum de 28 anos, tentando encontrar algo em que realmente seja bom na vida. Ele encontra a solução de seus problemas quando é apresentado ao NZR, uma droga misteriosa que atua em sua cognição e libera a possibilidade de ele usar 100% da capacidade de seu cérebro. Ele então começa a trabalhar como consultor para o FBI, junto à Agente Rebecca Harris (Jennifer Carpenter), ajudando a resolver casos misteriosos com suas novas habilidades. Porém, ele também tem contatos clandestinos com o Senador Edward Morra (Bradley Cooper), que também é usuário de NZT e tem seus próprios planos para o protegido.",2015-09-22,en,tv,https://image.tmdb.org/t/p/w500/p7a2DPQUGh5x18Rt9immmVmdZFV.jpg,4.7002,7.312,890,False
63259,tt4424726,Angel from Hell,Angel from Hell,"Quando a exagerada Amy entra na vida organizada mas imperfeita de Allison e afirma ser seu anjo da guarda, eles formam uma amizade improvável e Allison não pode ter certeza se Amy é realmente um anjo ou apenas louca.",2016-01-07,en,tv,https://image.tmdb.org/t/p/w500/wDisTsrsZwGAnFZcQtXUsaRNFYU.jpg,1.1164,5.9,34,False
66722,tt4424758,Tio Buck,Uncle Buck,"É uma série de TV que foi baseada em um filme do ano de 1989, que traduzido para o português é “Quem Vê Cara Não Vê Coração”. A nova série de TV Uncle Buck é uma comédia que é totalmente centrada no  tio Buck (interpretado por Mike Epps, do filme Se Beber, Não Case!), um cara muito divertido mas totalmente irresponsável, que está precisando urgentemente de um emprego e um lugar para poder dormi. Por uma ótima coincidência, a babá que cuidava de seu sobrinhos tinha acabado de sair do emprego, e logo o seu irmã e sua cunhada vão precisar de alguém para cuidar das crianças, e com certeza o tio Buck vai se aproveitar dessa situação.",2016-06-14,en,tv,https://image.tmdb.org/t/p/w500/hEqJPheY1h1wBCVwCN4D7JpKJdT.jpg,0.8218,5.781,16,False
62689,tt4428022,Império de Sangue,Blood & Oil,"Billy e Cody LeFever sonham com uma nova vida e mudam-se para 'The Bakken' em Dakota do Norte, crescendo depois da maior descoberta de petróleo da história americana. Eles logo enfrentam um magnata impiedoso que os obriga a colocar tudo em risco, incluindo o casamento.",2015-09-27,en,tv,https://image.tmdb.org/t/p/w500/ch0Kbx9uSOJvZyX7Xx1wzTMOIAa.jpg,1.683,6.3,38,False
62814,tt4428038,Segredos em Família,The Family,"Acompanhe o retorno do filho de um político, um rapaz que todos achavam que estava morto, depois de ele ter desaparecido há mais de uma década. Enquanto o misterioso rapaz é recebido de volta pela família, suspeitas emergem: será que ele realmente é quem diz ser?",2016-03-03,en,tv,https://image.tmdb.org/t/p/w500/AciJALZmd0SOMht1QVyPAjpnfFE.jpg,1.5259,6.373,51,False
62816,tt4428122,Quantico,Quantico,"Um grupo bastante diversificado de recrutas chegam à base do FBI em Quântico para treinar. Eles são os melhores, mais brilhantes e mais testados, então parece impossível que um deles seja suspeito de ser a grande mente por trás do maior ataque a Nova York desde 11 de setembro.",2015-09-27,en,tv,https://image.tmdb.org/t/p/w500/3ofY2mALEiE0QDyRlVOV3sDNMYC.jpg,9.5127,6.529,690,False
62927,tt4428124,Wicked City,Wicked City,"Situada nos anos 80, Wicked City dramatizou o caso real de um serial killer que agia em Los Angeles. A primeira (que foi cancelada no 3º episódio) abordou um caso de assassinato em 1982, no meio do cenário do rock and roll e drogas na Sunset Strip. Para resolver o caso, alianças entre detetives, jornalistas, traficantes e frequentadores de clubes serão formadas.",2015-10-27,en,tv,https://image.tmdb.org/t/p/w500/myEcHo82olJ5HM5IC9hTCehSpIV.jpg,1.2745,5.811,45,False
68950,tt4447390,Doubt,Doubt,"Katherine Heigl vive uma advogada de defesa inteligente, chique e bem sucedida que começa a se apaixonar por um cliente carismático (Steven Pasquale, de Rescue Me)… que pode ou não ser culpado de um crime brutal.",2017-02-15,en,tv,https://image.tmdb.org/t/p/w500/vZ8TpyyLKpx8w1OzP6gNh9YNUrw.jpg,1.329,4.558,26,False
